Packet loss rate (in %age),jitter (in ms),delay (in ms),a,effective delay (in ms) ,R (in ms) ,Final R (in ms) ,Mean Opinion Score (MOS)
0.0028,2.448,13.499,1.5,27.171,92.520725,92.513725,4.39560959
0.0028,2.448,13.499,1.6,27.4158,92.514605,92.507605,4.395484123
0.0028,2.448,13.499,1.7,27.6606,92.508485,92.501485,4.395358594
0.0028,2.448,13.499,1.8,27.9054,92.502365,92.495365,4.395233003
0.0028,2.448,13.499,1.9,28.1502,92.496245,92.489245,4.395107351
0.0028,2.448,13.499,2,28.395,92.490125,92.483125,4.394981637
0.0147,1.782,13.867,1.5,26.54,92.5365,92.49975,4.395322995
0.0147,1.782,13.867,1.6,26.7182,92.532045,92.495295,4.395231566
0.0147,1.782,13.867,1.7,26.8964,92.52759,92.49084,4.395140104
0.0147,1.782,13.867,1.8,27.0746,92.523135,92.486385,4.39504861
0.0147,1.782,13.867,1.9,27.2528,92.51868,92.48193,4.394957083
0.0147,1.782,13.867,2,27.431,92.514225,92.477475,4.394865523
0.0233,1.256,6.637,1.5,18.521,92.736975,92.678725,4.398969026
0.0233,1.256,6.637,1.6,18.6466,92.733835,92.675585,4.398905514
0.0233,1.256,6.637,1.7,18.7722,92.730695,92.672445,4.398841986
0.0233,1.256,6.637,1.8,18.8978,92.727555,92.669305,4.398778442
0.0233,1.256,6.637,1.9,19.0234,92.724415,92.666165,4.398714881
0.0233,1.256,6.637,2,19.149,92.721275,92.663025,4.398651304
0.0067,3.657,10.013,1.5,25.4985,92.5625375,92.5457875,4.396265902
0.0067,3.657,10.013,1.6,25.8642,92.553395,92.536645,4.39607893
0.0067,3.657,10.013,1.7,26.2299,92.5442525,92.5275025,4.39589182
0.0067,3.657,10.013,1.8,26.5956,92.53511,92.51836,4.395704572
0.0067,3.657,10.013,1.9,26.9613,92.5259675,92.5092175,4.395517187
0.0067,3.657,10.013,2,27.327,92.516825,92.500075,4.395329664
0.0282,2.469,4.234,1.5,17.9375,92.7515625,92.6810625,4.399016295
0.0282,2.469,4.234,1.6,18.1844,92.74539,92.67489,4.398891454
0.0282,2.469,4.234,1.7,18.4313,92.7392175,92.6687175,4.398766551
0.0282,2.469,4.234,1.8,18.6782,92.733045,92.662545,4.398641584
0.0282,2.469,4.234,1.9,18.9251,92.7268725,92.6563725,4.398516554
0.0282,2.469,4.234,2,19.172,92.7207,92.6502,4.398391462
0.0129,2.354,15.091,1.5,28.622,92.48445,92.4522,4.39434545
0.0129,2.354,15.091,1.6,28.8574,92.478565,92.446315,4.394224206
0.0129,2.354,15.091,1.7,29.0928,92.47268,92.44043,4.394102906
0.0129,2.354,15.091,1.8,29.3282,92.466795,92.434545,4.393981548
0.0129,2.354,15.091,1.9,29.5636,92.46091,92.42866,4.393860134
0.0129,2.354,15.091,2,29.799,92.455025,92.422775,4.393738663
0.0146,4.123,19.716,1.5,35.9005,92.3024875,92.2659875,4.390481529
0.0146,4.123,19.716,1.6,36.3128,92.29218,92.25568,4.390265989
0.0146,4.123,19.716,1.7,36.7251,92.2818725,92.2453725,4.390050276
0.0146,4.123,19.716,1.8,37.1374,92.271565,92.235065,4.389834388
0.0146,4.123,19.716,1.9,37.5497,92.2612575,92.2247575,4.389618328
0.0146,4.123,19.716,2,37.962,92.25095,92.21445,4.389402093
0.0201,2.24,10.7,1.5,24.06,92.5985,92.54825,4.396316239
0.0201,2.24,10.7,1.6,24.284,92.5929,92.54265,4.396201753
0.0201,2.24,10.7,1.7,24.508,92.5873,92.53705,4.396087215
0.0201,2.24,10.7,1.8,24.732,92.5817,92.53145,4.395972626
0.0201,2.24,10.7,1.9,24.956,92.5761,92.52585,4.395857985
0.0201,2.24,10.7,2,25.18,92.5705,92.52025,4.395743292
0.0034,3.711,19.963,1.5,35.5295,92.3117625,92.3032625,4.391259535
0.0034,3.711,19.963,1.6,35.9006,92.302485,92.293985,4.391066107
0.0034,3.711,19.963,1.7,36.2717,92.2932075,92.2847075,4.390872538
0.0034,3.711,19.963,1.8,36.6428,92.28393,92.27543,4.390678829
0.0034,3.711,19.963,1.9,37.0139,92.2746525,92.2661525,4.390484978
0.0034,3.711,19.963,2,37.385,92.265375,92.256875,4.390290987
0.0263,1.943,19.74,1.5,32.6545,92.3836375,92.3178875,4.391564168
0.0263,1.943,19.74,1.6,32.8488,92.37878,92.31303,4.391463027
0.0263,1.943,19.74,1.7,33.0431,92.3739225,92.3081725,4.391361848
0.0263,1.943,19.74,1.8,33.2374,92.369065,92.303315,4.39126063
